Date,Return,Strategy_Return,Cumulative_Market_Returns
2018-12-31,,,1.0
2019-01-02,0.0012684969251244294,0.0012684969251244294,1.0
2019-01-03,-0.02475673039503723,-0.02475673039503723,1.0012684969251244
2019-01-04,0.03433571464262353,0.03433571464262353,0.976480362693705
2019-01-07,0.007010434848680358,-0.007010434848680358,1.0100085137812815
2019-01-08,0.009695285023358924,0.009695285023358924,1.0029279148988053
2019-01-09,0.004098045450532162,0.004098045450532162,1.0126515868916324
2019-01-10,0.004518418782931244,0.004518418782931244,1.0168014791202677
2019-01-11,-0.00014629784190933748,-0.00014629784190933748,1.021395814022037
2019-01-14,-0.005257525167898014,-0.005257525167898014,1.0212463860187102
2019-01-15,0.010721688622945758,0.010721688622945758,1.015877157441592
2019-01-16,0.0022219854881162515,0.0022219854881162515,1.0267690760028438
2019-01-17,0.0075914003822110665,0.0075914003822110665,1.0290505419893687
2019-01-18,0.01318305304897005,0.01318305304897005,1.0368624766671413
2019-01-22,-0.014157306164566674,-0.014157306164566674,1.0505314897015308
2019-01-23,0.0022029127742235755,0.0022029127742235755,1.0356587937663078
2019-01-24,0.0013757255543636049,0.0013757255543636049,1.0379402597528324
2019-01-25,0.008488694060713842,0.008488694060713842,1.0393681806920771
2019-01-28,-0.007846827493937836,-0.007846827493937836,1.048191059194413
2019-01-29,-0.0014562465775435074,-0.0014562465775435074,1.0399660847722265
2019-01-30,0.01554926091974429,0.01554926091974429,1.0384516377205157
2019-01-31,0.008597395948725328,0.008597395948725328,1.054598793187968
2019-02-01,0.0008986100931438479,0.0008986100931438479,1.0636655965800528
2019-02-04,0.006776236617404008,0.006776236617404008,1.0646214172208694
2019-02-05,0.00470842037697472,0.00470842037697472,1.071835543851914
2019-02-06,-0.0022244379802809355,-0.0022244379802809355,1.0768821961673523
2019-02-07,-0.009357140143940179,-0.009357140143940179,1.0744867385099093
2019-02-08,0.0006762010869560964,0.0006762010869560964,1.064432615514867
2019-02-11,0.0007091030986317026,0.0007091030986317026,1.0651523860064696
2019-02-12,0.0128902247439735,0.0128902247439735,1.0659076888639016
2019-02-13,0.003023994668760688,0.003023994668760688,1.0796474785296868
2019-02-14,-0.002651641555101225,-0.002651641555101225,1.0829123267489016
2019-02-15,0.01087875260858695,0.01087875260858695,1.0800408314227627
2019-02-19,0.0014987433214488366,0.0014987433214488366,1.0917903284349835
2019-02-20,0.0017771107537685182,0.0017771107537685182,1.0934266418981478
2019-02-21,-0.003526436790880272,-0.003526436790880272,1.095369782141922
2019-02-22,0.006411102394986878,0.006411102394986878,1.0915070298425582
2019-02-25,0.0012318625699112573,0.0012318625699112573,1.0985047931757268
2019-02-26,-0.0007904570968998437,-0.0007904570968998437,1.099858000113308
2019-02-27,-0.0005440493877303387,-0.0005440493877303387,1.0989886095515364
2019-02-28,-0.0028255083152146643,-0.0028255083152146643,1.0983907054713873
2019-03-01,0.00689532059343434,0.00689532059343434,1.0952871933997235
2019-03-04,-0.003880558492514008,-0.003880558492514008,1.1028395497400976
2019-03-05,-0.001131532823106185,-0.001131532823106185,1.0985599163594733
